node1
Files already downloaded and verified
Files already downloaded and verified
Epoch 261/300: SAM Test Error: 3.82%
Epoch 262/300: SAM Test Error: 3.65%
Epoch 263/300: SAM Test Error: 3.60%
Epoch 264/300: SAM Test Error: 3.69%
Epoch 265/300: SAM Test Error: 3.58%
Epoch 266/300: SAM Test Error: 3.68%
Epoch 267/300: SAM Test Error: 3.64%
Epoch 268/300: SAM Test Error: 3.61%
Epoch 269/300: SAM Test Error: 3.62%
Epoch 270/300: SAM Test Error: 3.54%
Models saved at epoch 270
Epoch 271/300: SAM Test Error: 3.63%
Epoch 272/300: SAM Test Error: 3.56%
Epoch 273/300: SAM Test Error: 3.62%
Epoch 274/300: SAM Test Error: 3.50%
Epoch 275/300: SAM Test Error: 3.54%
Epoch 276/300: SAM Test Error: 3.63%
Epoch 277/300: SAM Test Error: 3.55%
Epoch 278/300: SAM Test Error: 3.49%
Epoch 279/300: SAM Test Error: 3.55%
Epoch 280/300: SAM Test Error: 3.46%
Models saved at epoch 280
Epoch 281/300: SAM Test Error: 3.47%
Epoch 282/300: SAM Test Error: 3.53%
Epoch 283/300: SAM Test Error: 3.55%
Epoch 284/300: SAM Test Error: 3.55%
Epoch 285/300: SAM Test Error: 3.56%
Epoch 286/300: SAM Test Error: 3.48%
Epoch 287/300: SAM Test Error: 3.49%
Epoch 288/300: SAM Test Error: 3.59%
Epoch 289/300: SAM Test Error: 3.72%
Epoch 290/300: SAM Test Error: 3.48%
Models saved at epoch 290
Epoch 291/300: SAM Test Error: 3.57%
Epoch 292/300: SAM Test Error: 3.57%
Epoch 293/300: SAM Test Error: 3.57%
Epoch 294/300: SAM Test Error: 3.53%
Epoch 295/300: SAM Test Error: 3.58%
Epoch 296/300: SAM Test Error: 3.51%
Epoch 297/300: SAM Test Error: 3.49%
Epoch 298/300: SAM Test Error: 3.59%
Epoch 299/300: SAM Test Error: 3.59%
Epoch 300/300: SAM Test Error: 3.55%
Models saved at epoch 300
