node1
Files already downloaded and verified
Files already downloaded and verified
Epoch 212/300: SGD Test Error: 7.83%
Epoch 213/300: SGD Test Error: 7.23%
Epoch 214/300: SGD Test Error: 7.76%
Epoch 215/300: SGD Test Error: 7.55%
Epoch 216/300: SGD Test Error: 7.42%
Epoch 217/300: SGD Test Error: 8.38%
Epoch 218/300: SGD Test Error: 8.62%
Epoch 219/300: SGD Test Error: 8.44%
Epoch 220/300: SGD Test Error: 6.69%
Models saved at epoch 220
Epoch 221/300: SGD Test Error: 6.80%
Epoch 222/300: SGD Test Error: 6.06%
Epoch 223/300: SGD Test Error: 7.02%
Epoch 224/300: SGD Test Error: 6.29%
Epoch 225/300: SGD Test Error: 7.16%
Epoch 226/300: SGD Test Error: 6.57%
Epoch 227/300: SGD Test Error: 5.62%
Epoch 228/300: SGD Test Error: 6.20%
Epoch 229/300: SGD Test Error: 6.10%
Epoch 230/300: SGD Test Error: 6.12%
Models saved at epoch 230
Epoch 231/300: SGD Test Error: 6.98%
Epoch 232/300: SGD Test Error: 6.80%
Epoch 233/300: SGD Test Error: 6.34%
Epoch 234/300: SGD Test Error: 7.38%
Epoch 235/300: SGD Test Error: 6.83%
Epoch 236/300: SGD Test Error: 6.35%
Epoch 237/300: SGD Test Error: 5.82%
Epoch 238/300: SGD Test Error: 5.71%
Epoch 239/300: SGD Test Error: 5.29%
Epoch 240/300: SGD Test Error: 5.19%
Models saved at epoch 240
Epoch 241/300: SGD Test Error: 5.96%
Epoch 242/300: SGD Test Error: 5.50%
Epoch 243/300: SGD Test Error: 5.30%
Epoch 244/300: SGD Test Error: 5.27%
Epoch 245/300: SGD Test Error: 5.10%
Epoch 246/300: SGD Test Error: 4.84%
Epoch 247/300: SGD Test Error: 4.64%
Epoch 248/300: SGD Test Error: 5.61%
Epoch 249/300: SGD Test Error: 4.94%
Epoch 250/300: SGD Test Error: 4.55%
Models saved at epoch 250
Epoch 251/300: SGD Test Error: 4.93%
Epoch 252/300: SGD Test Error: 5.05%
Epoch 253/300: SGD Test Error: 4.81%
Epoch 254/300: SGD Test Error: 4.59%
Epoch 255/300: SGD Test Error: 4.49%
Epoch 256/300: SGD Test Error: 4.41%
Epoch 257/300: SGD Test Error: 4.53%
Epoch 258/300: SGD Test Error: 4.33%
Epoch 259/300: SGD Test Error: 4.13%
Epoch 260/300: SGD Test Error: 4.22%
Models saved at epoch 260
Epoch 261/300: SGD Test Error: 4.26%
Epoch 262/300: SGD Test Error: 4.21%
Epoch 263/300: SGD Test Error: 4.08%
Epoch 264/300: SGD Test Error: 4.10%
Epoch 265/300: SGD Test Error: 3.90%
Epoch 266/300: SGD Test Error: 3.90%
Epoch 267/300: SGD Test Error: 3.95%
Epoch 268/300: SGD Test Error: 3.88%
Epoch 269/300: SGD Test Error: 3.86%
Epoch 270/300: SGD Test Error: 3.77%
Models saved at epoch 270
Epoch 271/300: SGD Test Error: 3.72%
Epoch 272/300: SGD Test Error: 3.81%
Epoch 273/300: SGD Test Error: 3.79%
Epoch 274/300: SGD Test Error: 3.82%
